id,name,age,gender,alive,expected
1086,Andres Gonzalez,33,MALE,true,VALID
1087,Andres Rodriguez,67,UNIDENTIFIED,true,VALID
1088,Ana Ramirez,59,MALE,true,VALID
1089,Mateo Gonzalez,4,UNIDENTIFIED,true,UNDERAGE
1090,Valentina Rodriguez,2,FEMALE,true,UNDERAGE
1091,Mateo Ramirez,39,MALE,true,VALID
1092,Camilo Torres,63,MALE,true,VALID
1093,Laura Castro,70,MALE,true,VALID
1094,Valentina Castro,47,FEMALE,false,DEAD
1095,Ana Gonzalez,41,FEMALE,true,VALID
1096,Luis Torres,35,FEMALE,true,VALID
1097,Mateo Gonzalez,18,UNIDENTIFIED,true,VALID
1098,Luis Castro,54,MALE,true,VALID
1099,Valentina Martinez,23,MALE,true,VALID
1100,Valentina Ramirez,41,MALE,false,DEAD
1101,Andres Torres,10,UNIDENTIFIED,true,UNDERAGE
1102,Sofia Gonzalez,38,UNIDENTIFIED,true,VALID
1103,Sofia Martinez,13,MALE,true,UNDERAGE
1104,Luis Ramirez,35,UNIDENTIFIED,true,VALID
1105,Sofia Martinez,71,MALE,true,VALID
1106,Ana Martinez,36,MALE,true,VALID
1107,Sofia Torres,45,FEMALE,true,VALID
1108,Luis Torres,68,FEMALE,true,VALID
1109,Ana Martinez,34,FEMALE,true,VALID
1110,Ana Rodriguez,13,MALE,true,UNDERAGE
1111,Ana Martinez,68,UNIDENTIFIED,true,VALID
1112,Ana Torres,18,UNIDENTIFIED,true,VALID
1113,Mateo Gonzalez,35,UNIDENTIFIED,true,VALID
1114,Camilo Torres,22,UNIDENTIFIED,true,VALID
1115,Andres Gonzalez,64,FEMALE,true,VALID
1116,Luis Torres,72,UNIDENTIFIED,true,VALID
1117,Ana Torres,29,FEMALE,true,VALID
1118,Sofia Gonzalez,52,MALE,true,VALID
1119,Luis Torres,71,FEMALE,true,VALID
1120,Valentina Castro,59,MALE,true,VALID
1121,Mateo Martinez,54,FEMALE,true,VALID
1122,Sofia Torres,21,UNIDENTIFIED,true,VALID
1123,Laura Rodriguez,56,FEMALE,true,VALID
1124,Andres Gonzalez,33,MALE,false,DEAD
1125,Laura Torres,14,FEMALE,true,UNDERAGE
1126,Ana Martinez,2,FEMALE,true,UNDERAGE
1127,Andres Torres,51,UNIDENTIFIED,false,DEAD
1128,Andres Ramirez,63,UNIDENTIFIED,true,VALID
1129,Sofia Ramirez,49,MALE,true,VALID
1130,Ana Rodriguez,56,UNIDENTIFIED,true,VALID
1131,Luis Ramirez,64,FEMALE,true,VALID
1132,Laura Ramirez,58,FEMALE,true,VALID
1133,Luis Martinez,14,FEMALE,true,UNDERAGE
1134,Laura Martinez,50,UNIDENTIFIED,true,VALID
1135,Mateo Torres,64,FEMALE,true,VALID
1136,Luis Gonzalez,49,FEMALE,true,VALID
1137,Laura Castro,68,MALE,true,VALID
1138,Luis Gonzalez,59,FEMALE,true,VALID
1139,Ana Castro,14,FEMALE,true,UNDERAGE
1140,Andres Gonzalez,72,MALE,true,VALID
1141,Andres Ramirez,74,MALE,true,VALID
1142,Camilo Castro,68,UNIDENTIFIED,true,VALID
1143,Laura Rodriguez,16,FEMALE,true,UNDERAGE
1144,Valentina Martinez,35,UNIDENTIFIED,true,VALID
1145,Luis Rodriguez,23,MALE,true,VALID
1146,Valentina Martinez,76,FEMALE,true,VALID
1147,Ana Ramirez,8,MALE,true,UNDERAGE
1148,Andres Martinez,27,FEMALE,true,VALID
1149,Ana Gonzalez,1,FEMALE,true,UNDERAGE
1150,Mateo Rodriguez,66,MALE,true,VALID
1151,Camilo Torres,17,MALE,true,UNDERAGE
1152,Sofia Martinez,56,UNIDENTIFIED,true,VALID
1153,Andres Rodriguez,77,UNIDENTIFIED,true,VALID
1154,Camilo Torres,32,FEMALE,true,VALID
1155,Laura Martinez,65,MALE,true,VALID
1156,Andres Torres,75,UNIDENTIFIED,true,VALID
1157,Ana Castro,70,MALE,true,VALID
1158,Laura Castro,7,MALE,true,UNDERAGE
1159,Mateo Torres,57,MALE,true,VALID
1160,Luis Castro,47,UNIDENTIFIED,true,VALID
1161,Camilo Gonzalez,1,UNIDENTIFIED,true,UNDERAGE
1162,Laura Gonzalez,51,MALE,true,VALID
1163,Andres Martinez,55,MALE,true,VALID
1164,Luis Rodriguez,23,FEMALE,true,VALID
1165,Sofia Ramirez,54,FEMALE,true,VALID
1166,Mateo Gonzalez,66,FEMALE,true,VALID
1167,Mateo Gonzalez,64,MALE,true,VALID
1168,Laura Ramirez,26,UNIDENTIFIED,true,VALID
1169,Andres Torres,3,FEMALE,true,UNDERAGE
1170,Valentina Torres,38,FEMALE,true,VALID
1171,Luis Ramirez,9,FEMALE,true,UNDERAGE
1172,Ana Torres,0,UNIDENTIFIED,true,UNDERAGE
1173,Ana Ramirez,31,FEMALE,true,VALID
1174,Laura Castro,7,UNIDENTIFIED,true,UNDERAGE
1175,Laura Castro,14,MALE,true,UNDERAGE
1176,Laura Martinez,18,FEMALE,true,VALID
1177,Camilo Martinez,14,UNIDENTIFIED,true,UNDERAGE
1178,Mateo Gonzalez,57,UNIDENTIFIED,true,VALID
1179,Sofia Ramirez,35,UNIDENTIFIED,true,VALID
1180,Andres Torres,75,FEMALE,true,VALID
1181,Ana Martinez,26,MALE,false,DEAD
1182,Camilo Martinez,19,MALE,true,VALID
1183,Sofia Martinez,70,MALE,true,VALID
1184,Camilo Ramirez,51,FEMALE,false,DEAD
1185,Camilo Gonzalez,15,MALE,true,UNDERAGE
1186,Mateo Rodriguez,73,UNIDENTIFIED,true,VALID
1187,Sofia Torres,1,FEMALE,true,UNDERAGE
1188,Camilo Gonzalez,64,FEMALE,true,VALID
1189,Ana Rodriguez,74,FEMALE,true,VALID
1190,Ana Gonzalez,30,FEMALE,true,VALID
1191,Valentina Rodriguez,39,FEMALE,true,VALID
1192,Sofia Gonzalez,53,UNIDENTIFIED,true,VALID
1193,Luis Ramirez,35,FEMALE,true,VALID
1194,Sofia Torres,18,FEMALE,true,VALID
1195,Sofia Gonzalez,68,UNIDENTIFIED,true,VALID
1196,Laura Ramirez,69,UNIDENTIFIED,true,VALID
1197,Ana Gonzalez,7,UNIDENTIFIED,true,UNDERAGE
1198,Camilo Castro,39,MALE,false,DEAD
1199,Ana Rodriguez,65,UNIDENTIFIED,true,VALID
1200,Valentina Torres,35,FEMALE,true,VALID
1201,Sofia Torres,15,FEMALE,true,UNDERAGE
1202,Sofia Martinez,50,FEMALE,true,VALID
1203,Laura Ramirez,49,UNIDENTIFIED,true,VALID
1204,Sofia Castro,60,MALE,true,VALID
1205,Valentina Rodriguez,17,FEMALE,true,UNDERAGE
1206,Mateo Torres,35,MALE,true,VALID
1207,Sofia Rodriguez,4,FEMALE,true,UNDERAGE
1208,Sofia Gonzalez,9,UNIDENTIFIED,true,UNDERAGE
1209,Ana Rodriguez,56,FEMALE,false,DEAD
1210,Ana Castro,13,FEMALE,true,UNDERAGE
1211,Andres Rodriguez,28,MALE,true,VALID
1212,Mateo Torres,5,MALE,true,UNDERAGE
1213,Luis Ramirez,8,FEMALE,true,UNDERAGE
1214,Andres Castro,48,MALE,true,VALID
1215,Laura Martinez,25,MALE,true,VALID
1216,Ana Martinez,41,UNIDENTIFIED,false,DEAD
1217,Valentina Castro,9,UNIDENTIFIED,true,UNDERAGE
1218,Ana Castro,53,FEMALE,true,VALID
1219,Ana Castro,75,FEMALE,true,VALID
1220,Luis Gonzalez,13,UNIDENTIFIED,true,UNDERAGE
1221,Sofia Gonzalez,42,MALE,false,DEAD
1222,Camilo Ramirez,58,MALE,true,VALID
1223,Andres Ramirez,23,FEMALE,false,DEAD
1224,Andres Martinez,13,UNIDENTIFIED,true,UNDERAGE
1225,Camilo Ramirez,63,FEMALE,true,VALID
1226,Andres Castro,61,UNIDENTIFIED,true,VALID
1227,Mateo Castro,46,UNIDENTIFIED,true,VALID
1228,Ana Rodriguez,22,UNIDENTIFIED,true,VALID
1229,Luis Castro,40,MALE,false,DEAD
1230,Camilo Ramirez,64,UNIDENTIFIED,true,VALID
1231,Andres Castro,22,FEMALE,true,VALID
1232,Valentina Ramirez,63,FEMALE,true,VALID
1233,Luis Martinez,32,FEMALE,true,VALID
1234,Camilo Martinez,15,FEMALE,true,UNDERAGE
1235,Camilo Castro,58,UNIDENTIFIED,false,DEAD
1236,Mateo Ramirez,10,FEMALE,true,UNDERAGE
1237,Valentina Rodriguez,60,MALE,true,VALID
1238,Sofia Martinez,19,MALE,true,VALID
1239,Laura Torres,68,FEMALE,false,DEAD
1240,Sofia Torres,13,MALE,true,UNDERAGE
1241,Laura Torres,23,FEMALE,true,VALID
1242,Valentina Ramirez,25,MALE,false,DEAD
1243,Sofia Rodriguez,72,FEMALE,true,VALID
1244,Mateo Rodriguez,51,FEMALE,true,VALID
1245,Ana Torres,68,FEMALE,true,VALID
1246,Ana Rodriguez,4,FEMALE,true,UNDERAGE
1247,Luis Castro,13,FEMALE,true,UNDERAGE
1248,Valentina Torres,32,FEMALE,true,VALID
1249,Andres Gonzalez,19,MALE,true,VALID
1250,Luis Gonzalez,0,MALE,true,UNDERAGE
1251,Luis Torres,53,FEMALE,true,VALID
1252,Valentina Castro,54,FEMALE,false,DEAD
1253,Valentina Torres,42,MALE,false,DEAD
1254,Valentina Torres,31,MALE,true,VALID
1255,Andres Gonzalez,43,MALE,false,DEAD
1256,Camilo Castro,16,UNIDENTIFIED,true,UNDERAGE
1257,Andres Ramirez,65,UNIDENTIFIED,true,VALID
1258,Luis Ramirez,58,MALE,true,VALID
1259,Mateo Castro,18,UNIDENTIFIED,true,VALID
1260,Laura Martinez,6,FEMALE,true,UNDERAGE
1261,Ana Torres,51,MALE,false,DEAD
1262,Camilo Castro,23,MALE,true,VALID
1263,Mateo Castro,59,MALE,true,VALID
1264,Valentina Castro,71,UNIDENTIFIED,true,VALID
1265,Andres Torres,64,FEMALE,true,VALID
1266,Luis Gonzalez,4,FEMALE,true,UNDERAGE
1267,Luis Martinez,50,FEMALE,true,VALID
1268,Valentina Castro,56,FEMALE,true,VALID
1269,Camilo Ramirez,42,FEMALE,false,DEAD
1270,Camilo Castro,24,UNIDENTIFIED,false,DEAD
1271,Luis Castro,28,FEMALE,true,VALID
1272,Camilo Gonzalez,14,UNIDENTIFIED,true,UNDERAGE
1273,Laura Martinez,5,FEMALE,true,UNDERAGE
1274,Mateo Torres,77,MALE,true,VALID
1275,Luis Rodriguez,23,FEMALE,true,VALID
1276,Luis Rodriguez,25,FEMALE,true,VALID
1277,Luis Castro,63,UNIDENTIFIED,true,VALID
1278,Laura Torres,41,FEMALE,true,VALID
1279,Ana Rodriguez,29,UNIDENTIFIED,true,VALID
1280,Laura Torres,61,MALE,true,VALID
1281,Camilo Gonzalez,16,MALE,true,UNDERAGE
1282,Ana Rodriguez,58,UNIDENTIFIED,false,DEAD
1283,Sofia Rodriguez,36,MALE,false,DEAD
1284,Laura Torres,21,UNIDENTIFIED,true,VALID
1285,Valentina Torres,30,FEMALE,true,VALID
1286,Valentina Ramirez,5,MALE,true,UNDERAGE
1287,Sofia Castro,47,UNIDENTIFIED,true,VALID
1288,Ana Torres,18,MALE,true,VALID
1289,Luis Martinez,27,UNIDENTIFIED,true,VALID
1290,Camilo Martinez,29,UNIDENTIFIED,true,VALID
1291,Valentina Torres,77,FEMALE,true,VALID
1292,Laura Torres,65,FEMALE,true,VALID
1293,Ana Ramirez,61,UNIDENTIFIED,false,DEAD
1294,Valentina Martinez,2,MALE,true,UNDERAGE
1295,Luis Castro,37,UNIDENTIFIED,true,VALID
1296,Sofia Castro,50,MALE,true,VALID
1297,Sofia Gonzalez,70,MALE,true,VALID
1298,Laura Castro,36,UNIDENTIFIED,true,VALID
1299,Andres Gonzalez,25,MALE,false,DEAD
1300,Laura Torres,36,UNIDENTIFIED,true,VALID
1301,Sofia Torres,46,FEMALE,true,VALID
1302,Sofia Castro,28,UNIDENTIFIED,false,DEAD
1303,Valentina Martinez,27,UNIDENTIFIED,true,VALID
1304,Luis Gonzalez,57,UNIDENTIFIED,true,VALID
1305,Luis Martinez,69,UNIDENTIFIED,true,VALID
1306,Laura Torres,75,FEMALE,true,VALID
1307,Camilo Castro,26,FEMALE,false,DEAD
1308,Sofia Gonzalez,46,FEMALE,true,VALID
1309,Valentina Castro,63,FEMALE,true,VALID
1310,Luis Rodriguez,7,MALE,true,UNDERAGE
1311,Ana Torres,69,MALE,true,VALID
1312,Mateo Rodriguez,55,UNIDENTIFIED,true,VALID
1313,Andres Castro,69,MALE,false,DEAD
1314,Mateo Ramirez,38,FEMALE,true,VALID
1315,Camilo Castro,32,FEMALE,true,VALID
1316,Laura Torres,24,MALE,false,DEAD
1317,Laura Torres,38,UNIDENTIFIED,true,VALID
1318,Andres Castro,68,UNIDENTIFIED,true,VALID
1319,Andres Gonzalez,58,MALE,false,DEAD
1320,Andres Ramirez,70,MALE,true,VALID
1321,Ana Ramirez,70,FEMALE,true,VALID
1322,Valentina Rodriguez,30,MALE,true,VALID
1323,Mateo Gonzalez,27,MALE,true,VALID
1324,Camilo Castro,52,MALE,true,VALID
1325,Valentina Gonzalez,28,FEMALE,true,VALID
1326,Ana Ramirez,15,FEMALE,true,UNDERAGE
1327,Laura Torres,39,FEMALE,true,VALID
1328,Andres Ramirez,46,UNIDENTIFIED,true,VALID
1329,Andres Martinez,24,UNIDENTIFIED,true,VALID
1330,Andres Torres,37,UNIDENTIFIED,true,VALID
1331,Luis Ramirez,25,MALE,true,VALID
1332,Camilo Rodriguez,72,FEMALE,true,VALID
1333,Sofia Torres,64,MALE,true,VALID
1334,Luis Torres,3,MALE,true,UNDERAGE
1335,Andres Rodriguez,5,MALE,true,UNDERAGE
1336,Mateo Gonzalez,7,MALE,true,UNDERAGE
1337,Laura Rodriguez,32,FEMALE,false,DEAD
1338,Luis Castro,48,FEMALE,true,VALID
1339,Sofia Rodriguez,22,FEMALE,true,VALID
1340,Mateo Rodriguez,48,MALE,true,VALID
1341,Ana Gonzalez,20,FEMALE,true,VALID
1342,Mateo Castro,69,MALE,true,VALID
1343,Mateo Martinez,8,UNIDENTIFIED,true,UNDERAGE
1344,Andres Ramirez,32,FEMALE,true,VALID
1345,Andres Ramirez,25,FEMALE,true,VALID
1346,Mateo Rodriguez,36,FEMALE,true,VALID
1347,Andres Martinez,55,UNIDENTIFIED,true,VALID
1348,Andres Martinez,6,UNIDENTIFIED,true,UNDERAGE
1349,Laura Torres,12,MALE,true,UNDERAGE
1350,Mateo Ramirez,52,FEMALE,true,VALID
1351,Andres Gonzalez,42,MALE,true,VALID
1352,Ana Torres,32,UNIDENTIFIED,true,VALID
1353,Camilo Gonzalez,0,MALE,true,UNDERAGE
1354,Mateo Torres,36,MALE,true,VALID
1355,Laura Gonzalez,41,UNIDENTIFIED,true,VALID
1356,Laura Rodriguez,5,FEMALE,true,UNDERAGE
1357,Mateo Castro,37,FEMALE,true,VALID
1358,Valentina Torres,1,UNIDENTIFIED,true,UNDERAGE
1359,Laura Gonzalez,72,UNIDENTIFIED,true,VALID
1360,Valentina Rodriguez,62,FEMALE,true,VALID
1361,Sofia Rodriguez,58,FEMALE,true,VALID
1362,Laura Gonzalez,6,UNIDENTIFIED,true,UNDERAGE
1363,Valentina Martinez,30,FEMALE,true,VALID
1364,Luis Torres,64,UNIDENTIFIED,true,VALID
1365,Sofia Castro,54,FEMALE,true,VALID
1366,Andres Gonzalez,64,MALE,true,VALID
1367,Andres Ramirez,54,FEMALE,true,VALID
1368,Andres Torres,44,UNIDENTIFIED,false,DEAD
1369,Laura Castro,57,MALE,true,VALID
1370,Mateo Castro,77,UNIDENTIFIED,true,VALID
1371,Ana Ramirez,74,FEMALE,true,VALID
1372,Sofia Gonzalez,68,MALE,true,VALID
1373,Camilo Rodriguez,32,MALE,true,VALID
1374,Ana Martinez,60,MALE,true,VALID
1375,Andres Rodriguez,72,FEMALE,true,VALID
1376,Andres Torres,11,UNIDENTIFIED,true,UNDERAGE
1377,Laura Castro,51,UNIDENTIFIED,false,DEAD
1378,Ana Rodriguez,14,FEMALE,true,UNDERAGE
1379,Camilo Castro,65,MALE,false,DEAD
1380,Laura Ramirez,20,FEMALE,false,DEAD
1381,Ana Gonzalez,52,MALE,true,VALID
1382,Sofia Castro,65,UNIDENTIFIED,true,VALID
1383,Luis Torres,69,MALE,true,VALID
1384,Luis Torres,8,UNIDENTIFIED,true,UNDERAGE
1385,Andres Martinez,71,MALE,true,VALID
1386,Mateo Martinez,28,MALE,true,VALID
1387,Mateo Gonzalez,51,MALE,true,VALID
1388,Mateo Castro,49,UNIDENTIFIED,false,DEAD
1389,Laura Martinez,74,UNIDENTIFIED,true,VALID
1390,Sofia Torres,0,FEMALE,true,UNDERAGE
1391,Valentina Gonzalez,57,FEMALE,true,VALID
1392,Ana Rodriguez,49,UNIDENTIFIED,false,DEAD
1393,Laura Martinez,54,FEMALE,true,VALID
1394,Ana Martinez,60,UNIDENTIFIED,true,VALID
1395,Laura Rodriguez,45,MALE,true,VALID
1396,Luis Torres,26,MALE,false,DEAD
1397,Luis Torres,73,MALE,true,VALID
1398,Luis Torres,54,MALE,true,VALID
1399,Laura Torres,62,FEMALE,true,VALID
1400,Sofia Rodriguez,55,FEMALE,true,VALID
1401,Ana Rodriguez,49,UNIDENTIFIED,true,VALID
1402,Luis Ramirez,41,UNIDENTIFIED,true,VALID
1403,Laura Castro,67,MALE,true,VALID
1404,Laura Castro,2,UNIDENTIFIED,true,UNDERAGE
1405,Ana Torres,27,FEMALE,true,VALID
1406,Valentina Martinez,21,UNIDENTIFIED,true,VALID
1407,Sofia Torres,50,UNIDENTIFIED,true,VALID
1408,Andres Torres,3,FEMALE,true,UNDERAGE
1409,Mateo Gonzalez,60,FEMALE,false,DEAD
1410,Camilo Rodriguez,57,MALE,false,DEAD
1411,Laura Gonzalez,13,UNIDENTIFIED,true,UNDERAGE
1412,Mateo Martinez,44,UNIDENTIFIED,false,DEAD
1413,Luis Castro,18,UNIDENTIFIED,true,VALID
1414,Laura Gonzalez,15,MALE,true,UNDERAGE
1415,Andres Gonzalez,34,UNIDENTIFIED,true,VALID
1416,Laura Torres,49,UNIDENTIFIED,true,VALID
1417,Luis Ramirez,10,MALE,true,UNDERAGE
1418,Ana Rodriguez,29,MALE,true,VALID
1419,Valentina Martinez,46,FEMALE,true,VALID
1420,Valentina Torres,60,FEMALE,false,DEAD
1421,Laura Rodriguez,11,MALE,true,UNDERAGE
1422,Camilo Castro,35,FEMALE,true,VALID
1423,Andres Rodriguez,4,MALE,true,UNDERAGE
1424,Laura Rodriguez,77,FEMALE,true,VALID
1425,Valentina Gonzalez,18,UNIDENTIFIED,true,VALID
1426,Camilo Martinez,51,FEMALE,true,VALID
1427,Laura Castro,6,MALE,true,UNDERAGE
1428,Andres Castro,53,UNIDENTIFIED,true,VALID
1429,Mateo Ramirez,63,MALE,false,DEAD
1430,Luis Ramirez,26,UNIDENTIFIED,true,VALID
1431,Laura Gonzalez,60,FEMALE,true,VALID
1432,Ana Gonzalez,55,MALE,true,VALID
1433,Luis Martinez,63,UNIDENTIFIED,false,DEAD
1434,Valentina Rodriguez,63,FEMALE,false,DEAD
1435,Andres Rodriguez,7,FEMALE,true,UNDERAGE
1436,Luis Gonzalez,41,FEMALE,true,VALID
1437,Luis Martinez,56,FEMALE,true,VALID
1438,Camilo Gonzalez,52,UNIDENTIFIED,true,VALID
1439,Luis Ramirez,31,FEMALE,true,VALID
1440,Valentina Castro,46,UNIDENTIFIED,false,DEAD
1441,Sofia Gonzalez,61,MALE,true,VALID
1442,Luis Rodriguez,14,MALE,true,UNDERAGE
1443,Luis Castro,40,UNIDENTIFIED,true,VALID
1444,Ana Torres,58,FEMALE,true,VALID
1445,Mateo Martinez,53,MALE,true,VALID
1446,Laura Torres,70,MALE,true,VALID
1447,Luis Ramirez,57,MALE,false,DEAD
1448,Laura Castro,57,FEMALE,true,VALID
1449,Luis Rodriguez,28,UNIDENTIFIED,true,VALID
1450,Ana Castro,52,MALE,true,VALID
1451,Ana Torres,2,UNIDENTIFIED,true,UNDERAGE
1452,Sofia Rodriguez,47,FEMALE,true,VALID
1453,Valentina Martinez,11,FEMALE,true,UNDERAGE
1454,Andres Gonzalez,33,UNIDENTIFIED,true,VALID
1455,Sofia Rodriguez,40,UNIDENTIFIED,true,VALID
1456,Valentina Castro,30,FEMALE,true,VALID
1457,Luis Torres,52,MALE,true,VALID
1458,Valentina Rodriguez,60,UNIDENTIFIED,true,VALID
1459,Camilo Martinez,40,FEMALE,true,VALID
1460,Andres Rodriguez,65,UNIDENTIFIED,true,VALID
1461,Mateo Gonzalez,34,FEMALE,false,DEAD
1462,Mateo Martinez,68,UNIDENTIFIED,false,DEAD
1463,Mateo Gonzalez,55,UNIDENTIFIED,true,VALID
1464,Laura Gonzalez,25,MALE,true,VALID
1465,Valentina Martinez,9,MALE,true,UNDERAGE
1466,Andres Castro,36,MALE,true,VALID
1467,Valentina Rodriguez,65,FEMALE,true,VALID
1468,Sofia Rodriguez,23,MALE,true,VALID
1469,Camilo Martinez,57,MALE,true,VALID
1470,Valentina Ramirez,50,UNIDENTIFIED,true,VALID
1471,Valentina Ramirez,0,MALE,true,UNDERAGE
1472,Sofia Gonzalez,3,FEMALE,true,UNDERAGE
1473,Mateo Ramirez,3,MALE,true,UNDERAGE
1474,Camilo Martinez,68,MALE,false,DEAD
1475,Ana Gonzalez,12,FEMALE,true,UNDERAGE
1476,Sofia Martinez,30,FEMALE,true,VALID
1477,Ana Castro,64,FEMALE,true,VALID
1478,Mateo Torres,57,MALE,true,VALID
1479,Andres Martinez,21,MALE,true,VALID
1480,Luis Rodriguez,6,MALE,true,UNDERAGE
1481,Andres Castro,6,MALE,true,UNDERAGE
1482,Mateo Gonzalez,27,UNIDENTIFIED,true,VALID
1483,Ana Ramirez,45,FEMALE,true,VALID
1484,Sofia Torres,37,UNIDENTIFIED,false,DEAD
1485,Laura Rodriguez,75,UNIDENTIFIED,true,VALID
1486,Mateo Castro,47,UNIDENTIFIED,true,VALID
1487,Valentina Torres,53,FEMALE,true,VALID
1488,Andres Castro,41,FEMALE,true,VALID
1489,Luis Martinez,44,UNIDENTIFIED,true,VALID
1490,Ana Rodriguez,35,FEMALE,false,DEAD
1491,Laura Castro,58,UNIDENTIFIED,true,VALID
1492,Laura Castro,40,MALE,false,DEAD
1493,Camilo Martinez,34,UNIDENTIFIED,true,VALID
1494,Laura Torres,51,UNIDENTIFIED,true,VALID
1495,Laura Martinez,22,FEMALE,false,DEAD
1496,Valentina Ramirez,59,UNIDENTIFIED,false,DEAD
1497,Luis Castro,46,FEMALE,true,VALID
1498,Mateo Castro,54,MALE,true,VALID
1499,Andres Torres,71,FEMALE,true,VALID
1500,Luis Torres,47,FEMALE,true,VALID
1501,Sofia Ramirez,-1,FEMALE,true,INVALID_AGE
1502,Diego Herrera,-5,MALE,true,INVALID_AGE
1503,Valentina Rojas,-18,FEMALE,true,INVALID_AGE
1504,Tomas Guzman,-99,MALE,true,INVALID_AGE
